url_source,url_target,page_title_target
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/SoFi_Stadium""","""SoFi Stadium"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Anthony_Hitchens""","""Anthony Hitchens"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Tyreek_Hill""","""Tyreek Hill"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Quarterback""","""Quarterback"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Ferris_wheel""","""Ferris wheel"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Frank_Clark_(American_football)""","""Frank Clark (American football)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/The_Masked_Singer_(American_TV_series)""","""The Masked Singer (American TV series)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Sammy_Watkins""","""Sammy Watkins"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Simultaneous_substitution""","""Simultaneous substitution"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Tampa,_Florida""","""Tampa, Florida"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/AFC_West""","""AFC West"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Monday_Night_Football""","""Monday Night Football"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/NFL_on_NBC""","""NFL on NBC"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/ESPN_Brasil""","""ESPN Brasil"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/National_Football_League_100th_Anniversary_All-Time_Team""","""National Football League 100th Anniversary All-Time Team"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Reseau_des_Sports""","""Réseau des sports"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/2019_San_Francisco_49ers_season""","""2019 San Francisco 49ers season"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/List_of_Super_Bowl_halftime_shows""","""List of Super Bowl halftime shows"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Fred_Warner_(American_football)""","""Fred Warner (American football)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Harrison_Butker""","""Harrison Butker"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/1966_Green_Bay_Packers_season""","""1966 Green Bay Packers season"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Sky_Sports""","""Sky Sports"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/TF1""","""TF1"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Two-minute_warning""","""Two-minute warning"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl""","""List of national anthem performers at the Super Bowl"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Donald_Trump""","""Donald Trump"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/High-dynamic-range_video""","""High-dynamic-range video"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Tim_Ryan_(American_football,_born_1967)""","""Tim Ryan (American football, born 1967)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Seed_(sports)""","""Seed (sports)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Bad_Bunny""","""Bad Bunny"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/File:Hard_Rock_Stadium.jpg""","""File:Hard Rock Stadium.jpg"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Raheem_Mostert""","""Raheem Mostert"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Roc_Nation""","""Roc Nation"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/AFL%E2%80%93NFL_merger""","""AFL–NFL merger"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Fox_Deportes""","""Fox Deportes"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Nick_Bosa""","""Nick Bosa"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/XFL_(2020)""","""XFL (2020)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Mike_Pereira""","""Mike Pereira"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Pacific_Time_Zone""","""Pacific Time Zone"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Terrell_Suggs""","""Terrell Suggs"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/ESPN_International""","""ESPN International"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Bye_(sports)""","""Bye (sports)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/American_football_rules""","""American football rules"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Bell_Media""","""Bell Media"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Tony_Boselli""","""Tony Boselli"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Kansas_City_Chiefs""","""Kansas City Chiefs"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Jimmy_Garoppolo""","""Jimmy Garoppolo"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Super_Bowl_I""","""Super Bowl I"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/2012_San_Francisco_49ers_season""","""2012 San Francisco 49ers season"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/1080p""","""1080p"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Campaign_advertising""","""Campaign advertising"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/1116_SEN""","""1116 SEN"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Denver_Broncos""","""Denver Broncos"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Super_Bowl_LIII""","""Super Bowl LIII"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Matt_Breida""","""Matt Breida"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Kendall_Fuller""","""Kendall Fuller"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Missouri""","""Missouri"""
